date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:22	227/227	---M--	200	added ('OK')	image/png	etag:%2228feccc0-e3%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/action-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/action-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:24	243/243	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-f3%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/alert-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/alert-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:25	173/173	---M--	200	added ('OK')	image/png	etag:%2228feccc0-ad%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-l-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-l-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:26	171/171	---M--	200	added ('OK')	image/png	etag:%2228feccc0-ab%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-r-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-r-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:28	839388/839388	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22622d8ac8-ccedc%22	https://cubebooks.github.io/assets/webfonts/fa-solid-900.svg	D:/test1/Test/cubebooks.github.io/assets/webfonts/fa-solid-900.svg	(from https://cubebooks.github.io/assets/css/fontawesome-all.min.css)
10:09:28	149/149	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-95%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-d-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:28	156/156	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-9c%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-l-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-l-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:28	152/152	---M--	200	added ('OK')	image/png	etag:%2228feccc0-98%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-r-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-r-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:28	169/169	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-a9%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-l-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-l-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:29	165/165	---M--	200	added ('OK')	image/png	etag:%2228feccc0-a5%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-r-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-r-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:29	151/151	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-97%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/arrow-u-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:29	314/314	---M--	200	added ('OK')	image/png	etag:%2228feccc0-13a%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/audio-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/audio-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:30	240/240	---M--	200	added ('OK')	image/png	etag:%2228feccc0-f0%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/back-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/back-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:30	135/135	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-87%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/bars-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/bars-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:30	152/152	---M--	200	added ('OK')	image/png	etag:%2228feccc0-98%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/bullets-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/bullets-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:31	143/143	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-8f%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/calendar-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/calendar-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:31	251/251	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-fb%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/camera-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/camera-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:31	213/213	---M--	200	added ('OK')	image/png	etag:%22620cd6ff-d5%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/carat-d-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/carat-d-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
10:09:32	177/177	---M--	200	added ('OK')	image/png	etag:%2228feccc0-b1%22	http://code.jquery.com/mobile/1.4.5/images/icons-png/carat-l-white.png	D:/test1/Test/code.jquery.com/mobile/1.4.5/images/icons-png/carat-l-white.png	(from http://code.jquery.com/mobile/1.4.5/jquery.mobile-1.4.5.min.css)
